method,n_runs,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,demographic_parity_ratio_mean,demographic_parity_ratio_std,demographic_parity_ratio_ci_low,demographic_parity_ratio_ci_high,equalized_odds_gap_mean,equalized_odds_gap_std,equalized_odds_gap_ci_low,equalized_odds_gap_ci_high,intervention_rate_mean,intervention_rate_std,intervention_rate_ci_low,intervention_rate_ci_high,rolling_tail_avg_dpr_mean,rolling_tail_avg_dpr_std,rolling_tail_avg_dpr_ci_low,rolling_tail_avg_dpr_ci_high,rolling_tail_fair_rate_mean,rolling_tail_fair_rate_std,rolling_tail_fair_rate_ci_low,rolling_tail_fair_rate_ci_high
base_model,15,0.8197689753341286,0.10620092765255038,0.7660238905785147,0.8735140600897425,0.7681340673789657,0.2905931406985901,0.6210736478377933,0.9151944869201382,0.09900942754826213,0.07927324195253249,0.05889163195301028,0.13912722314351397,0.0,0.0,0.0,0.0,0.8238276291533377,0.31735123676542515,0.6632257446476042,0.9844295136590713,0.48425290623060546,0.31019886666283697,0.327270620403188,0.6412351920580229
coda_full,15,0.806110014762659,0.10625963694386444,0.7523352190063283,0.8598848105189897,0.9903061155617014,0.08438041726409704,0.947603732655877,1.0330084984675258,0.10154232966625995,0.10035991225954168,0.05075320654200907,0.15233145279051083,0.08071333008200168,0.04634957777560242,0.05725720741905761,0.10416945274494575,1.0689955867976901,0.06789910871910039,1.0346338968049469,1.1033572767904334,0.7256482096403557,0.14333643824995693,0.653109963576111,0.7981864557046005
coda_naive_init,15,0.8152134201702071,0.10744469970060978,0.7608388999132546,0.8695879404271597,0.8658778414996218,0.1908472279866911,0.7692958184397473,0.9624598645594963,0.07034734154985443,0.06722238291188955,0.03632812206719794,0.10436656103251093,0.051872034459995796,0.046956524037486215,0.028108754609180744,0.07563531431081084,0.9288293126830832,0.18980517976335587,0.832774638784092,1.0248839865820745,0.6288948353154594,0.20683697988434588,0.5242208813284632,0.7335687893024556
coda_no_damping,15,0.8073120561280547,0.1055811510147187,0.7538806216264083,0.860743490629701,0.9862808940157957,0.08267840145013908,0.9444398499532235,1.0281219380783677,0.09661889396121616,0.09949978579580748,0.046265054885002786,0.14697273303742953,0.07878302465276697,0.0447538878667179,0.05613443250101818,0.10143161680451576,1.0649049820875705,0.06787627745813304,1.0305548463070444,1.0992551178680965,0.7223023934616953,0.14611108562255995,0.6483599820902005,0.7962448048331902
coda_no_ema,15,0.805901985944924,0.10634410925309357,0.7520844413019369,0.8597195305879112,0.9912772466813827,0.08462954575319113,0.9484487873649529,1.0341057059978125,0.10139937638747991,0.10176322315640067,0.04990007996477242,0.1528986728101874,0.08023675395788236,0.04596681464313771,0.056974336165981826,0.1034991717497829,1.0695247255288545,0.06860165974623045,1.0348074956615276,1.1042419553961813,0.7276459872845071,0.14349713883278578,0.6550264155046088,0.8002655590644054
coda_no_overshoot,15,0.8080497502972738,0.10464835358840341,0.7550903764249013,0.8610091241696463,0.9956208550399561,0.08673407299316582,0.9517273579937902,1.039514352086122,0.10301806185415364,0.10031745539113436,0.052250424869821184,0.1537856988384861,0.07536669103724164,0.043588587650156385,0.053307822160883936,0.09742555991359934,1.0778151085637602,0.07196238086083165,1.0413971191537752,1.1142330979737451,0.7360035293860253,0.14603571619466763,0.6620992602076317,0.809907798564419
coda_no_warmup,15,0.8057050044724255,0.10629453899234607,0.7519125458425658,0.8594974631022853,0.9890304290679001,0.08129669711693417,0.9478886238739209,1.030172234261879,0.09992582192432196,0.09986695703374325,0.04938616856438366,0.15046547528426027,0.0802785520406388,0.046064728044586487,0.056966583230909196,0.1035905208503684,1.06846380648594,0.06674570124117882,1.0346858212124386,1.1022417917594414,0.7248954531053482,0.1428864266375926,0.6525849443385277,0.7972059618721687
group_threshold,15,0.8125539136922996,0.10713708451230457,0.7583350681995229,0.8667727591850762,0.9599965143072773,0.14688661318182775,0.8856616318404308,1.034331396774124,0.10346656807959244,0.0959863295440869,0.05489078318998324,0.15204235296920163,0.06131170817570335,0.039911008602014506,0.04111395108063345,0.08150946527077324,1.0376363552083283,0.13443865533591176,0.9696010085765343,1.1056717018401223,0.7010295338925725,0.19169910810980892,0.6040164000088041,0.7980426677763409
