seed,dataset,model,method,n_samples,accuracy,balanced_accuracy,precision,recall,f1,privileged_positive_rate,unprivileged_positive_rate,demographic_parity_ratio,demographic_parity_difference,privileged_tpr,unprivileged_tpr,privileged_fpr,unprivileged_fpr,tpr_gap,fpr_gap,equalized_odds_gap,fairness_pass,roc_auc,intervention_rate,total_interventions,rolling_avg_dpr,rolling_min_dpr,rolling_fair_rate,rolling_max_eo_gap,rolling_tail_avg_dpr,rolling_tail_fair_rate,rolling_tail_max_eo_gap,accuracy_delta_vs_base,dpr_delta_vs_base,coda_threshold_updates,coda_damping_events,coda_lambda_mean,coda_lambda_max,coda_lambda_final,coda_dpr_mean,coda_dpr_std,coda_tau_initial_group_0,coda_tau_final_group_0,coda_tau_mean_group_0,coda_tau_range_group_0,coda_tau_initial_group_1,coda_tau_final_group_1,coda_tau_mean_group_1,coda_tau_range_group_1
42,adult,xgboost,base_model,6513.0,0.8694917856594503,0.7923237887167001,0.7761538461538462,0.6434948979591837,0.7036262203626221,0.25779816513761467,0.08174640037157455,0.31709457795379453,-0.17605176476604012,0.6511278195488722,0.6008403361344538,0.08514851485148515,0.01723237597911227,-0.050287483414418466,-0.06791613887237288,0.06791613887237288,0.0,0.9212129341119664,0.0,0.0,0.35548417892122186,0.0,0.0821434054966989,1.0,0.3574121901091514,0.0824694414358657,1.0,0.0,0.0,,,,,,,,,,,,,,,
42,adult,xgboost,group_threshold,6513.0,0.8616612927990174,0.7712701966529787,0.7767634854771784,0.5969387755102041,0.6750811395600433,0.20711009174311926,0.14026939154667906,0.6772697089075534,-0.0668407001964402,0.5631578947368421,0.7857142857142857,0.050825082508250824,0.06005221932114883,0.22255639097744362,0.009227136812898003,0.22255639097744362,0.0,0.9212129341119664,0.05327805926608322,347.0,0.8085953137646376,0.0,0.38031629049593124,1.0,0.8066743835534234,0.378152560730311,0.9166666666666666,-0.007830492860432914,0.3601751309537589,,,,,,,,,,,,,,,
42,adult,xgboost,coda_full,6513.0,0.852141870105942,0.7706631363364355,0.7293404094010614,0.6135204081632653,0.6664357464496017,0.21284403669724772,0.18160705991639572,0.8532400659865144,-0.031236976780851994,0.5729323308270676,0.8403361344537815,0.05478547854785479,0.09973890339425587,0.2674038036267139,0.04495342484640108,0.2674038036267139,1.0,0.9212129341119664,0.06310456011054813,411.0,1.034694212738775,0.0,0.5079072623982803,1.0,1.0345224616933828,0.5067306204548971,0.9166666666666666,-0.01734991555350829,0.5361454880327199,4829.0,2229.0,4.253923455469827,5.0,1.9802985473739532,0.7099342052501033,0.1810625358726491,0.25,0.13033174720468235,0.1375537427315135,0.11999999999999994,0.6,0.6282436927372296,0.5901499537550662,0.1807595965726826
42,adult,xgboost,coda_no_damping,6513.0,0.8522954091816367,0.7698931873052557,0.7312977099236642,0.610969387755102,0.6657400972897847,0.211697247706422,0.17974918718067812,0.8490860846237883,-0.03194806052574389,0.5706766917293233,0.8361344537815126,0.05412541254125412,0.09817232375979112,0.2654577620521893,0.044046911218537,0.2654577620521893,1.0,0.9212129341119664,0.06356517733763242,414.0,1.0174434180797856,0.0,0.5198833103024719,1.0,1.0171382089293415,0.5187993192016092,0.9285714285714286,-0.01719637647781358,0.5319915066699938,4824.0,0.0,4.28103859703544,5.0,1.754402853352604,0.7181233236815249,0.16876707751210224,0.25,0.1308168446604721,0.13913712167754458,0.11999999999999991,0.6,0.6495782534263899,0.5889695783867274,0.23999999355878743
42,adult,xgboost,coda_no_warmup,6513.0,0.8513741747274681,0.7699398098470935,0.726928895612708,0.6128826530612245,0.6650519031141868,0.21330275229357798,0.18207152810032512,0.8535826478681909,-0.03123122419325286,0.5721804511278196,0.8403361344537815,0.05577557755775578,0.10026109660574413,0.26815568332596196,0.04448551904798835,0.26815568332596196,1.0,0.9212129341119664,0.06295102103485337,410.0,1.0381670458242793,0.0,0.5080608014739751,1.0,1.038022161814981,0.5068853473619063,0.9166666666666666,-0.018117610931982164,0.5364880699143963,4851.0,2252.0,4.270895675270281,5.0,1.9802985473739532,0.709966061073785,0.18160013234749994,0.25,0.13041979829469427,0.13760713534612398,0.12000152000001882,0.6,0.6202522483034597,0.5870980374304593,0.1805896213838466
42,adult,xgboost,coda_no_ema,6513.0,0.852141870105942,0.7702276057035554,0.7300380228136882,0.6122448979591837,0.6659729448491155,0.2121559633027523,0.18114259173246633,0.8538180540038413,-0.03101337157028597,0.5714285714285714,0.8403361344537815,0.054455445544554455,0.09921671018276762,0.26890756302521013,0.044761264638213165,0.26890756302521013,1.0,0.9212129341119664,0.06341163826193766,413.0,1.0366691598582034,0.0,0.506218332565638,1.0,1.036512687685776,0.5050286244777967,0.9166666666666666,-0.01734991555350829,0.5367234760500468,4816.0,2216.0,4.261084968288918,5.0,1.754402853352604,0.709376042602932,0.18175409423763397,0.25,0.13051083347362494,0.1375040284386887,0.12,0.6,0.6376572148504083,0.5932344938858913,0.1887792630833236
42,adult,xgboost,coda_naive_init,6513.0,0.865806847842776,0.765071849012608,0.8166058394160584,0.5707908163265306,0.6719219219219219,0.1993119266055046,0.10543427775197399,0.5289913130018488,-0.0938776488535306,0.5488721804511278,0.6932773109243697,0.045874587458745876,0.03237597911227154,0.14440513047324188,-0.013498608346474338,0.14440513047324188,0.0,0.9212129341119664,0.04698295716259788,306.0,0.6333084180812502,0.0,0.2680792261630585,1.0,0.6373857735300495,0.2698437258239208,1.0,-0.0036849378166743385,0.21189673504805423,5540.0,1794.0,4.814700294182011,5.0,5.0,0.5401359741765872,0.22217232163308595,0.5,0.38,0.38154788750896274,0.12,0.5,0.6199999999999999,0.6147796384148222,0.11999999999999988
42,adult,xgboost,coda_no_overshoot,6513.0,0.852141870105942,0.7706631363364355,0.7293404094010614,0.6135204081632653,0.6664357464496017,0.21284403669724772,0.18160705991639572,0.8532400659865144,-0.031236976780851994,0.5729323308270676,0.8403361344537815,0.05478547854785479,0.09973890339425587,0.2674038036267139,0.04495342484640108,0.2674038036267139,1.0,0.9212129341119664,0.06310456011054813,411.0,1.034694212738775,0.0,0.5079072623982803,1.0,1.0345224616933828,0.5067306204548971,0.9166666666666666,-0.01734991555350829,0.5361454880327199,4829.0,2229.0,4.253923455469827,5.0,1.9802985473739532,0.7099342052501033,0.1810625358726491,0.25,0.13033174720468235,0.1375537427315135,0.11999999999999994,0.6,0.6282436927372296,0.5901499537550662,0.1807595965726826
42,compas,xgboost,base_model,2648.0,0.7061933534743202,0.7061632895217232,0.7034023668639053,0.7161144578313253,0.7097014925373135,0.667,0.41565533980582525,0.6231714239967395,-0.2513446601941748,0.8479427549194991,0.6202860858257477,0.4376417233560091,0.2366325369738339,-0.22765666909375137,-0.2010091863821752,0.22765666909375137,0.0,0.7761420682730924,0.0,0.0,0.6446708347324672,0.0,0.19977341389728095,1.0,0.6483223354665214,0.20284834488067743,0.7564102564102564,0.0,0.0,,,,,,,,,,,,,,,
42,compas,xgboost,group_threshold,2648.0,0.6948640483383686,0.6950278386272362,0.7199661590524534,0.6408132530120482,0.6780876494023904,0.497,0.41565533980582525,0.8363286515207752,-0.08134466019417474,0.669051878354204,0.6202860858257477,0.2789115646258503,0.2366325369738339,-0.04876579252845625,-0.04227902765201641,0.04876579252845625,1.0,0.7761420682730924,0.06419939577039276,170.0,0.8997789805866899,0.0,0.5290785498489426,1.0,0.9083401838968455,0.5384911470361817,0.6923076923076923,-0.01132930513595165,0.21315722752403565,,,,,,,,,,,,,,,
