dataset,method,n_runs,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,demographic_parity_ratio_mean,demographic_parity_ratio_std,demographic_parity_ratio_ci_low,demographic_parity_ratio_ci_high,equalized_odds_gap_mean,equalized_odds_gap_std,equalized_odds_gap_ci_low,equalized_odds_gap_ci_high,intervention_rate_mean,intervention_rate_std,intervention_rate_ci_low,intervention_rate_ci_high
adult,base_model,3,0.8715389733353804,0.0035458330673399352,0.8675264854905572,0.8755514611802037,0.2993879779452475,0.015342030620022555,0.28202683594881195,0.3167491199416831,0.08262448568966459,0.015150527475514684,0.06548004990161227,0.0997689214777169,0.0,0.0,0.0,0.0
adult,coda_full,3,0.842315369261477,0.00853213203712568,0.8326603529538209,0.8519703855691331,0.9652980481663099,0.10053404988830764,0.8515330610654641,1.0790630352671557,0.2719116606430247,0.006973350870953857,0.2640205712781268,0.2798027500079226,0.07057679512769333,0.00709831145814456,0.06254429954663626,0.07860929070875039
adult,coda_naive_init,3,0.865602129075183,0.003535846348209395,0.8616009422669173,0.8696033158834486,0.5149276946848919,0.012247059534133735,0.5010688421720174,0.5287865471977663,0.1347180929390461,0.009911369793185985,0.12350232218350375,0.14593386369458847,0.048211269768156005,0.0015121845235369431,0.04650007189036826,0.04992246764594375
adult,coda_no_damping,3,0.8436972209427299,0.007460482489332951,0.8352548902586682,0.8521395516267917,0.943479648892901,0.08429772832794298,0.8480877892541658,1.0388715085316362,0.26511762449952664,0.007579060987671002,0.2565411096127112,0.2736941393863421,0.06899022467884743,0.0053017319263340594,0.06299075022336063,0.07498969913433422
adult,coda_no_ema,3,0.8418035723424945,0.00905923918181099,0.8315520781491618,0.8520550665358272,0.9667540167692192,0.10177596723559806,0.8515836678914254,1.081924365647013,0.27491494533994726,0.0055827888014980615,0.26859742508989476,0.28123246558999976,0.07057679512769333,0.006792838946941836,0.06288997423431919,0.07826361602106746
adult,coda_no_overshoot,3,0.8421618301857823,0.008684124515510103,0.8323348181974386,0.851988842174126,0.9590121735347394,0.09313399876057894,0.8536211325946914,1.0644032144747875,0.2732850454901703,0.006306015740467823,0.266149116915035,0.2804209740653056,0.07011617790060903,0.006467501342717898,0.06279751116385224,0.07743484463736583
adult,coda_no_warmup,3,0.8420594708019857,0.008090115566466962,0.832904643217839,0.8512142983861325,0.9654122421268688,0.10034313764944057,0.8518632925617259,1.0789611916920117,0.27216228720944075,0.006739933027793106,0.2645353349995246,0.2797892394193569,0.07052561543579507,0.007179217485027269,0.062401566066594395,0.07864966480499573
adult,group_threshold,3,0.8564921439172936,0.004586511429087388,0.8513020176451728,0.8616822701894143,0.8031872443168885,0.10908976836423259,0.6797405503402782,0.9266339382934987,0.26218623350793674,0.03522845046925723,0.22232148899928098,0.3020509780165925,0.06684067761912073,0.0125342189700794,0.052656873614064896,0.08102448162417655
bank_marketing,base_model,3,0.7402597402597403,0.0039040742888855266,0.7358418643101565,0.744677616209324,1.093399683539361,0.11086993000008981,0.9679385470354107,1.218860820043311,0.04656221481834235,0.014122703425367018,0.03058087143467339,0.06254355820201131,0.0,0.0,0.0,0.0
bank_marketing,coda_full,3,0.7251828631138976,0.010076960042834843,0.7137797093509437,0.7365860168768514,1.0142297178935544,0.008217206620674421,1.0049310732428653,1.0235283625442435,0.030824945129110475,0.015998334822942002,0.012721125012552268,0.04892876524566868,0.10673234811165845,0.04892679255906169,0.05136647027672232,0.16209822594659457
bank_marketing,coda_naive_init,3,0.7345872518286312,0.003177160270755764,0.7309919565269755,0.7381825471302869,1.045664082990412,0.01950308474089911,1.023594264989047,1.067733900991777,0.028546407885475893,0.016390368696735505,0.00999895967828807,0.04709385609266371,0.07583221376324824,0.009137594233648539,0.06549205248178483,0.08617237504471165
bank_marketing,coda_no_damping,3,0.7327959396924913,0.008126978706562898,0.7235993975383838,0.7419924818465989,1.0295205590114296,0.01145349562373841,1.0165597085996356,1.0424814094232235,0.02349503778724929,0.021097893977341915,-0.00037947675636968575,0.047369552330868266,0.09702940737423497,0.040068306481104925,0.0516878502098718,0.14237096453859815
bank_marketing,coda_no_ema,3,0.7245857590685176,0.00976018572221377,0.7135410691945583,0.735630448942477,1.0155425378113037,0.007479600532488643,1.0070785730248117,1.0240065025977956,0.028772885084396294,0.013874170027946414,0.013072783715577994,0.0444729864532146,0.10464248395282878,0.048341233381723504,0.04993922870527147,0.15934573920038608
bank_marketing,coda_no_overshoot,3,0.735035079862666,0.003361197268009455,0.7312315270935961,0.738838632631736,1.0470892899163984,0.004784380379660432,1.0416752538481975,1.0525033259845993,0.03683022122143342,0.02714149887068969,0.006116723930196286,0.06754371851267055,0.08045977011494253,0.0433545956418942,0.03139942668461074,0.12952011354527432
bank_marketing,coda_no_warmup,3,0.7253321391252426,0.009987000258950707,0.7140307844409546,0.7366334938095307,1.0136575154762804,0.008766722962093082,1.0037370345466128,1.023577996405948,0.030824945129110475,0.015998334822942002,0.012721125012552268,0.04892876524566868,0.10658307210031348,0.048761872239377335,0.05140381917566798,0.161762325024959
