hyperparameter,hp_value,metric,mean,std,ci_low,ci_high,n
ema_alpha,0.05,accuracy,0.7692467725483265,0.08063728211317166,0.7047235087104315,0.8337700363862215,6
ema_alpha,0.05,demographic_parity_ratio,0.9813320934357912,0.05157692985612386,0.9400619542911623,1.02260223258042,6
ema_alpha,0.05,intervention_rate,0.09969664822496922,0.03152524510568435,0.07447119848010342,0.12492209796983503,6
ema_alpha,0.1,accuracy,0.7693511999936914,0.08102940012614171,0.7045141763992244,0.8341882235881584,6
ema_alpha,0.1,demographic_parity_ratio,0.9797252466342323,0.05696011810581329,0.934147659785249,1.0253028334832157,6
ema_alpha,0.1,intervention_rate,0.09830988731345118,0.030666964524710103,0.07377120506523066,0.1228485695616717,6
ema_alpha,0.2,accuracy,0.7677293468682745,0.0797866288492365,0.7038867474023065,0.8315719463342426,6
ema_alpha,0.2,demographic_parity_ratio,0.9821163308382775,0.07074620981653064,0.9255075731780606,1.0387250884984944,6
ema_alpha,0.2,intervention_rate,0.09738102809022903,0.031119580091613492,0.07248017796041425,0.1222818782200438,6
ema_alpha,0.35,accuracy,0.7687785305521886,0.08083073162205734,0.7041004748689581,0.8334565862354191,6
ema_alpha,0.35,demographic_parity_ratio,0.978457896818834,0.0657958657090795,0.9258102394160036,1.0311055542216643,6
ema_alpha,0.35,intervention_rate,0.09766251639566943,0.03086823647004192,0.07296278304935282,0.12236224974198605,6
ema_alpha,0.5,accuracy,0.7688414711362772,0.08076849314618774,0.7042132166057413,0.8334697256668131,6
ema_alpha,0.5,demographic_parity_ratio,0.9800273085013949,0.06761199154954928,0.9259264477700719,1.0341281692327178,6
ema_alpha,0.5,intervention_rate,0.0980601930386651,0.03044200142881817,0.07370151875710265,0.12241886732022755,6
ema_alpha,0.7,accuracy,0.7692191146408089,0.0803512870082493,0.7049246945477385,0.8335135347338793,6
ema_alpha,0.7,demographic_parity_ratio,0.9797416849604733,0.06686817507227925,0.9262360013674685,1.033247368553478,6
ema_alpha,0.7,intervention_rate,0.09772959310289485,0.030487469958780915,0.0733345364200631,0.1221246497857266,6
ema_alpha,1.0,accuracy,0.768585572676786,0.080490930374134,0.7041794146195374,0.8329917307340345,6
ema_alpha,1.0,demographic_parity_ratio,0.9804448671358111,0.06698137776945179,0.9268486025199171,1.0340411317517053,6
ema_alpha,1.0,intervention_rate,0.09759957581158081,0.030787068042299852,0.07296479073412027,0.12223436088904135,6
eta,0.01,accuracy,0.7689991463351089,0.08144702276919893,0.7038279550296712,0.8341703376405466,6
eta,0.01,demographic_parity_ratio,0.9789365055529035,0.07398155436003494,0.9197389330899499,1.038134078015857,6
eta,0.01,intervention_rate,0.09289492902026143,0.02772613845278909,0.07070939771621101,0.11508046032431185,6
eta,0.05,accuracy,0.7691229594417178,0.08106197777424223,0.7042598682997279,0.8339860505837078,6
eta,0.05,demographic_parity_ratio,0.9765090220645328,0.0606167639859571,0.9280055091339247,1.025012534995141,6
eta,0.05,intervention_rate,0.09723924990672463,0.031273514493943104,0.07221522660198436,0.12226327321146489,6
eta,0.1,accuracy,0.7673682478562899,0.0823341155239979,0.7014872345136183,0.8332492611989615,6
eta,0.1,demographic_parity_ratio,0.9818988329698746,0.0591593581054931,0.9345614876193208,1.0292361783204285,6
eta,0.1,intervention_rate,0.10234984558731326,0.03545742775078144,0.07397799443084845,0.1307216967437781,6
eta,0.25,accuracy,0.765977998298855,0.08505377112742418,0.6979208072447148,0.8340351893529953,6
eta,0.25,demographic_parity_ratio,0.9804423682530642,0.06365718421799364,0.9295060124528955,1.0313787240532328,6
eta,0.25,intervention_rate,0.11018769262930488,0.0472086744897802,0.07241288574449009,0.14796249951411966,6
eta,0.5,accuracy,0.7634424098584147,0.08679406432549695,0.6939926942271571,0.8328921254896723,6
eta,0.5,demographic_parity_ratio,0.9847611634101785,0.0682851269703906,0.9301216821646296,1.0394006446557273,6
eta,0.5,intervention_rate,0.11173148126243447,0.04904854291564025,0.0724844730241295,0.15097848950073944,6
eta,1.0,accuracy,0.7632314869061164,0.08659175652153532,0.6939436512324839,0.8325193225797489,6
eta,1.0,demographic_parity_ratio,0.9822921262463975,0.07288059248700553,0.923975506756403,1.040608745736392,6
eta,1.0,intervention_rate,0.1134682277709667,0.05345273053487872,0.07069713548244674,0.15623932005948665,6
lambda_cap,1.0,accuracy,0.7680108351737149,0.08005921927810457,0.7039501179376457,0.8320715524097841,6
lambda_cap,1.0,demographic_parity_ratio,0.9861271837316646,0.07659427223525309,0.9248390015609077,1.0474153659024217,6
lambda_cap,1.0,intervention_rate,0.09720603529172193,0.030903359434176447,0.07247819772087999,0.12193387286256388,6
lambda_cap,2.0,accuracy,0.7677058250838938,0.0800033441714407,0.7036898172447037,0.831721832923084,6
lambda_cap,2.0,demographic_parity_ratio,0.9847490100212113,0.06505299966140822,0.9326957692546316,1.036802250787791,6
lambda_cap,2.0,intervention_rate,0.09822756106811863,0.029987203208235585,0.07423280115483152,0.12222232098140573,6
lambda_cap,3.0,accuracy,0.768829710244087,0.08087079551759946,0.7041195967678022,0.8335398237203717,6
lambda_cap,3.0,demographic_parity_ratio,0.9783893599455057,0.054559793989245375,0.9347324324021326,1.022046287488879,6
lambda_cap,3.0,intervention_rate,0.09771369608756768,0.03067323322710538,0.07316999783275602,0.12225739434237934,6
lambda_cap,5.0,accuracy,0.7688414711362772,0.08075719174175378,0.7042222596126598,0.8334606826598946,6
lambda_cap,5.0,demographic_parity_ratio,0.9787297913031701,0.06586571363451828,0.9260262439198802,1.03143333868646,6
lambda_cap,5.0,intervention_rate,0.09772545697975804,0.03096677057594397,0.0729468799280791,0.12250403403143698,6
lambda_cap,8.0,accuracy,0.7694044477471581,0.08136503299772899,0.7042988619224351,0.8345100335718811,6
lambda_cap,8.0,demographic_parity_ratio,0.9757601398697121,0.06173344987212824,0.9263630921352355,1.0251571876041887,6
lambda_cap,8.0,intervention_rate,0.09782781636355455,0.03080950629881141,0.0731750769415648,0.12248055578554429,6
lambda_cap,10.0,accuracy,0.7694812172850054,0.08144272332669,0.704313466250074,0.8346489683199368,6
lambda_cap,10.0,demographic_parity_ratio,0.975565468117216,0.060459828269590184,0.9271875299129301,1.0239434063215018,6
lambda_cap,10.0,intervention_rate,0.0979557655933002,0.030680483000093944,0.07340626631192804,0.12250526487467236,6
max_deviation,0.02,accuracy,0.7743183456466105,0.08835626313489851,0.7036186106284793,0.8450180806647417,6
max_deviation,0.02,demographic_parity_ratio,0.8965991210594395,0.10522696195571328,0.8124000154943527,0.9807982266245263,6
max_deviation,0.02,intervention_rate,0.0894055389878698,0.027778926213045615,0.06717776867857038,0.11163330929716923,6
max_deviation,0.05,accuracy,0.7723008839397663,0.08667577769183032,0.7029458173278278,0.8416559505517047,6
max_deviation,0.05,demographic_parity_ratio,0.9381012207370155,0.07978373404776527,0.8742609375946411,1.00194150387939,6
max_deviation,0.05,intervention_rate,0.09513998380185944,0.027681609641234995,0.07299008296774798,0.1172898846359709,6
max_deviation,0.08,accuracy,0.7719316383114165,0.08320517180671586,0.7053536347816427,0.8385096418411904,6
max_deviation,0.08,demographic_parity_ratio,0.963450709918654,0.06197376250811511,0.9138613720274532,1.013040047809855,6
max_deviation,0.08,intervention_rate,0.09774200147230522,0.02897313266087613,0.07455866699106184,0.1209253359535486,6
max_deviation,0.12,accuracy,0.7688414711362772,0.08075719174175378,0.7042222596126598,0.8334606826598946,6
max_deviation,0.12,demographic_parity_ratio,0.9787297913031701,0.06586571363451828,0.9260262439198802,1.03143333868646,6
max_deviation,0.12,intervention_rate,0.09772545697975804,0.03096677057594397,0.0729468799280791,0.12250403403143698,6
max_deviation,0.15,accuracy,0.7664380936786278,0.0784424154828554,0.7036710889179936,0.829205098439262,6
max_deviation,0.15,demographic_parity_ratio,0.9821841554487252,0.056352128040757184,0.9370930619729111,1.0272752489245394,6
max_deviation,0.15,intervention_rate,0.09960462914901469,0.031584494362009705,0.07433177012524096,0.12487748817278842,6
max_deviation,0.2,accuracy,0.7627123164778972,0.07548561160826099,0.7023112475662615,0.8231133853895328,6
max_deviation,0.2,demographic_parity_ratio,0.998940703533067,0.008161100579468278,0.9924104630277187,1.0054709440384153,6
max_deviation,0.2,intervention_rate,0.10741935062402887,0.02775935941211519,0.08520723701626765,0.1296314642317901,6
warmup,5.0,accuracy,0.7688414711362772,0.08075719174175378,0.7042222596126598,0.8334606826598946,6
warmup,5.0,demographic_parity_ratio,0.9788846300765256,0.06606074981125828,0.9260250212491996,1.0317442389038516,6
warmup,5.0,intervention_rate,0.09767427728785978,0.031007645183677286,0.07286299373826906,0.1224855608374505,6
warmup,15.0,accuracy,0.7688414711362772,0.08075719174175378,0.7042222596126598,0.8334606826598946,6
warmup,15.0,demographic_parity_ratio,0.9788846300765256,0.06606074981125828,0.9260250212491996,1.0317442389038516,6
warmup,15.0,intervention_rate,0.09767427728785978,0.031007645183677286,0.07286299373826906,0.1224855608374505,6
warmup,30.0,accuracy,0.7687785305521886,0.08081979184155497,0.7041092285164668,0.8334478325879103,6
warmup,30.0,demographic_parity_ratio,0.9784638490686989,0.066079453550918,0.9255892741326798,1.0313384240047179,6
warmup,30.0,intervention_rate,0.09761133670377116,0.030961671222486675,0.0728368399846618,0.12238583342288052,6
warmup,50.0,accuracy,0.768650581322443,0.08066187401208084,0.7041076398671977,0.8331935227776883,6
warmup,50.0,demographic_parity_ratio,0.9821543198715359,0.05593411499194537,0.937397706496357,1.0269109332467148,6
warmup,50.0,intervention_rate,0.09820403928373789,0.029726601202008113,0.07441780440457707,0.1219902741628987,6
warmup,100.0,accuracy,0.7688808899359851,0.08094005243729264,0.704115359382328,0.8336464204896422,6
warmup,100.0,demographic_parity_ratio,0.9782586328930171,0.05738068814668831,0.932344519923627,1.0241727458624073,6
warmup,100.0,intervention_rate,0.09744668421310605,0.029441059587462293,0.07388893021089468,0.12100443821531742,6
warmup,200.0,accuracy,0.7693767898396406,0.08108256285038344,0.704497227206249,0.8342563524730323,6
warmup,200.0,demographic_parity_ratio,0.9771962256612133,0.06260455454939663,0.9271021490159294,1.0272903023064972,6
warmup,200.0,intervention_rate,0.09743078719777891,0.029933911623429565,0.07347866943334241,0.1213829049622154,6
