hyperparameter,hp_value,seed,dataset,model,accuracy,demographic_parity_ratio,intervention_rate
accuracy_floor,0.001,42,compas,xgboost,0.7005287009063444,0.9900967168161269,0.118202416918429
accuracy_floor,0.01,42,compas,xgboost,0.7005287009063444,0.9900967168161269,0.118202416918429
accuracy_floor,0.02,42,compas,xgboost,0.7020392749244713,0.9774892327907145,0.11669184290030211
accuracy_floor,0.05,42,compas,xgboost,0.7016616314199395,0.9688245687535292,0.11404833836858005
accuracy_floor,0.1,42,compas,xgboost,0.6941087613293051,0.9501851314689372,0.12235649546827794
accuracy_floor,0.2,42,compas,xgboost,0.7020392749244713,0.9485790244148677,0.11593655589123868
eta,0.01,52,adult,xgboost,0.8358667280822969,1.0733151585085488,0.07508060801473976
eta,0.05,52,adult,xgboost,0.837095040687855,1.0336974098604559,0.07293106095501305
eta,0.1,52,adult,xgboost,0.8363273453093812,1.0287249225797765,0.07584830339321358
eta,0.25,52,adult,xgboost,0.8381698142177184,1.0336374853729278,0.07646245969599264
eta,0.5,52,adult,xgboost,0.8367879625364655,1.0475825464744883,0.07723015507446646
eta,1.0,52,adult,xgboost,0.8341777982496545,1.0496318758622574,0.07799785045294028
ema_alpha,0.05,52,adult,xgboost,0.8387839705204975,1.0274876185460828,0.07707661599877169
ema_alpha,0.1,52,adult,xgboost,0.8381698142177184,1.0336374853729278,0.07646245969599264
ema_alpha,0.2,52,adult,xgboost,0.8309534776600644,1.068012526222979,0.07569476431751881
ema_alpha,0.35,52,adult,xgboost,0.8367879625364655,1.0475825464744883,0.07723015507446646
ema_alpha,0.5,52,adult,xgboost,0.8367879625364655,1.056865666971018,0.07968678028558268
ema_alpha,0.7,52,adult,xgboost,0.8367879625364655,1.052613455653041,0.07845846768002457
ema_alpha,1.0,52,adult,xgboost,0.8352525717795178,1.0513724642658893,0.07692307692307693
warmup,5.0,52,adult,xgboost,0.8367879625364655,1.0485115791146211,0.07692307692307693
warmup,15.0,52,adult,xgboost,0.8367879625364655,1.0485115791146211,0.07692307692307693
warmup,30.0,52,adult,xgboost,0.8367879625364655,1.0485115791146211,0.07692307692307693
warmup,50.0,52,adult,xgboost,0.8367879625364655,1.0475825464744883,0.07723015507446646
warmup,100.0,52,adult,xgboost,0.8372485797635498,1.0405947382417269,0.07738369415016122
warmup,200.0,52,adult,xgboost,0.837095040687855,1.0426112167421218,0.07692307692307693
max_deviation,0.02,52,adult,xgboost,0.8524489482573315,0.9114660473048786,0.0735452172577921
max_deviation,0.05,52,adult,xgboost,0.8489175495163519,0.9608849968615091,0.07216336557653923
max_deviation,0.08,52,adult,xgboost,0.8438507600184247,1.0117337140856275,0.0713956701980654
max_deviation,0.12,52,adult,xgboost,0.8367879625364655,1.0475825464744883,0.07723015507446646
max_deviation,0.15,52,adult,xgboost,0.8297251650545063,1.0084116636598404,0.08797789037309996
max_deviation,0.2,52,adult,xgboost,0.8340242591739597,0.9908429703434415,0.08859204667587901
lambda_cap,1.0,52,adult,xgboost,0.831260555811454,1.0925319925007742,0.07692307692307693
