dataset,method,n_runs,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,demographic_parity_ratio_mean,demographic_parity_ratio_std,demographic_parity_ratio_ci_low,demographic_parity_ratio_ci_high,equalized_odds_gap_mean,equalized_odds_gap_std,equalized_odds_gap_ci_low,equalized_odds_gap_ci_high,intervention_rate_mean,intervention_rate_std,intervention_rate_ci_low,intervention_rate_ci_high,rolling_tail_avg_dpr_mean,rolling_tail_avg_dpr_std,rolling_tail_avg_dpr_ci_low,rolling_tail_avg_dpr_ci_high,rolling_tail_fair_rate_mean,rolling_tail_fair_rate_std,rolling_tail_fair_rate_ci_low,rolling_tail_fair_rate_ci_high
adult_race,base_model,6,0.8607912380367471,0.012770045932083756,0.8505730731717474,0.8710094029017468,2.389034797663321,0.22325968682484706,2.210389842130868,2.567679753195774,0.14009452043842544,0.049101231933226075,0.10080535220546344,0.17938368867138743,0.0,0.0,0.0,0.0,0.3551748458799164,0.03233662146113152,0.32930015983538374,0.381049531924449,0.20921656609417708,0.024257195395118964,0.18980676733322688,0.22862636485512727
adult_race,coda_multigroup,6,0.8561850657659039,0.013024844466805253,0.8457630196111272,0.8666071119206806,1.6450792915552543,0.37637635606434117,1.3439154838440548,1.946243099266454,0.08065659136169305,0.04146660038119327,0.04747640067643122,0.11383678204695488,0.03459747172322023,0.005903306248454345,0.02987384294254862,0.03932110050389184,0.34196375961386855,0.038608065369392375,0.31107087331093236,0.37285664591680473,0.17979266594460777,0.017930972744320765,0.16544489956493055,0.194140432324285
adult_race,multigroup_threshold,6,0.8589999488203083,0.0120512689123936,0.8493569253547545,0.8686429722858621,2.2717917467140274,0.8526170696043478,1.5895560029849118,2.954027490443143,0.13217544748815563,0.09174678765136049,0.058762727828286426,0.20558816714802483,0.009775321152566662,0.007482673991219568,0.0037879349771396155,0.01576270732799371,0.3851866013262119,0.0636340008664166,0.3342687960707944,0.4361044065816294,0.22468925679509,0.030529374051618992,0.20026066985469965,0.24911784373548035
recruitment_gender,base_model,6,0.9941345545562066,0.006433180971626702,0.9889869376937406,0.9992821714186726,1.1217690720275268,0.02408961694571494,1.1024933639529326,1.141044780102121,0.006519296133527863,0.007524885742068634,0.0004981335228624456,0.01254045874419328,0.0,0.0,0.0,0.0,1.3654738051697988,0.04155923690516961,1.3322194898275432,1.3987281205120543,0.7328427319331899,0.012873066414211945,0.7225421335141955,0.7431433303521844
recruitment_gender,coda_multigroup,6,0.9912602800011002,0.005939216860181847,0.986507916746568,0.9960126432556324,1.1159956253356917,0.013700704178070077,1.1050327787803493,1.1269584718910342,0.00783936600417734,0.0037495484061646003,0.004839102419594067,0.010839629588760613,0.007467612839343181,0.004621506323774769,0.003769637609487176,0.011165588069199185,1.3548772672877971,0.031044295013846823,1.3300366577664018,1.3797178768091924,0.7360536905352516,0.00817027186319376,0.7295161114745349,0.7425912695959683
recruitment_gender,multigroup_threshold,6,0.9942789559094534,0.006256451896703091,0.9892727517587044,0.9992851600602023,1.1459753878007126,0.021932645355382144,1.12842561645621,1.1635251591452151,0.00523096060633342,0.007568808337939601,-0.0008253474006990301,0.01128726861336587,0.0028123882608576066,0.003122234703165625,0.00031408018006875245,0.005310696341646461,1.3935842015151296,0.038260284673235036,1.3629695977265321,1.4241988053037271,0.7448666005181633,0.011203930730358885,0.73590158880656,0.7538316122297667
