feature,importance
relationship,0.21517928432649044
capital.gain,0.21131111429862587
education.num,0.15343328301091314
marital.status,0.13538858087702416
age,0.07894022374948051
capital.loss,0.05856067263151473
hours.per.week,0.044274462827513114
education,0.03976944704025362
occupation,0.027251084804212112
sex,0.01451622674529408
workclass,0.012354134194009317
native.country,0.005054871171786875
race,0.0039666143228819254
